"year_id","location_name","maternal_education","ldi"
1990,"United Kingdom",10.988858,22304.072
1995,"United Kingdom",11.743217,24543.836
2000,"United Kingdom",12.426199,28378.338
2005,"United Kingdom",13.064401,32807.418
2010,"United Kingdom",13.676816,34932.262
2015,"United Kingdom",14.244808,35569.391
1990,"United States",12.977533,32411.193
1995,"United States",13.09254,35291.453
2000,"United States",13.24008,39803.492
2005,"United States",13.487108,44199.578
2010,"United States",13.883201,46436.82
2015,"United States",14.376788,47815.828
1990,"Mexico",6.7303572,11001.79
1995,"Mexico",7.4742284,11326.556
2000,"Mexico",8.2214413,12237.519
2005,"Mexico",8.9758644,13138.822
2010,"Mexico",9.7392826,14028.241
2015,"Mexico",10.507971,14817.909
1990,"Paraguay",6.4928236,4833.2104
1995,"Paraguay",7.1166768,5159.5293
2000,"Paraguay",7.821456,5387.7012
2005,"Paraguay",8.5663919,5152.3359
2010,"Paraguay",9.344718,5538.4106
2015,"Paraguay",10.113992,6503.2622
1990,"Iraq",3.7568555,9095.7422
1995,"Iraq",4.582891,5963.188
2000,"Iraq",5.3137369,7182.9927
2005,"Iraq",6.0163193,8154.6377
2010,"Iraq",6.7477012,8957.6758
2015,"Iraq",7.5203171,10649.354
1990,"Afghanistan",0.64981759,1294.4634
1995,"Afghanistan",0.79155564,916.34741
2000,"Afghanistan",0.95634037,743.14191
2005,"Afghanistan",1.1576947,813.93268
2010,"Afghanistan",1.3588403,1076.7964
2015,"Afghanistan",1.6309505,1409.2648
1990,"Bangladesh",2.3259706,1197.0363
1995,"Bangladesh",2.924855,1308.4708
2000,"Bangladesh",3.5983679,1436.7522
2005,"Bangladesh",4.3051119,1609.6012
2010,"Bangladesh",5.0368776,1958.9192
2015,"Bangladesh",5.7404618,2473.8342
1990,"India",3.0567515,1414.3907
1995,"India",3.8080091,1649.9379
2000,"India",4.655704,2027.4089
2005,"India",5.5510964,2518.6226
2010,"India",6.4417028,3418.1875
2015,"India",7.2787313,4539.3481
1990,"Uganda",3.4127274,740.07544
1995,"Uganda",3.9424055,804.66113
2000,"Uganda",4.5319228,953.6861
2005,"Uganda",5.1493974,1109.1733
2010,"Uganda",5.7895236,1348.4534
2015,"Uganda",6.467545,1555.4011
1990,"Sierra Leone",1.2663424,1109.4087
1995,"Sierra Leone",1.5896567,1116.0493
2000,"Sierra Leone",1.9456966,930.15161
2005,"Sierra Leone",2.3538349,993.5976
2010,"Sierra Leone",2.8113797,1143.8853
2015,"Sierra Leone",3.3145092,1420.4913
